HSMID	X	Y	OBLIKA IJS	TIP PRIKLJUČKA	ID VS	UPRAVLJANJE
11586830	171163	575579	DRUG	3	99	0
11586945	171211	575211	NEZ		99	0
19125076	171138	575600	JAV	1	1633	1
19127800	171133	575642	JAV	3	1633	1
11586848	171175	575831	DRUG	1	99	0
11586856	171156	575555	JAV	1	1633	1
11586864	171175	575810	JAV	1	1633	1
11586872	171171	575537	JAV	1	1633	1
11586899	171190	575717	JAV	3	1633	1
11586902	171181	575456	JAV	1	1633	1
11586929	171252	575323	NEZ		99	0
11586937	171183	575242	JAV	1	1633	1
11579361	168478	573312	NEZ		99	0
11579442	168135	572957	JAV	1	1633	1
11579477	168076	572925	JAV	1	1633	1
11579469	168029	572880	JAV	1	1633	1
11579485	167908	572934	JAV	1	1633	1
11579493	167788	572921	JAV	1	1633	1
11579507	167877	573071	DRUG	1	99	0
11579515	168030	572756	JAV	1	1633	1
11579523	168054	572638	JAV	1	1633	1
11579531	168028	572498	JAV	1	1633	1
11579540	167880	572590	JAV	1	1633	1
11579558	168069	572417	JAV	1	1633	1
11579370	168447	573228	JAV	1	1633	1
19138445	168278	572671	JAV	1	1633	1
11579574	168231	572724	NEZ		99	0
11579604	168352	572719	JAV	1	1633	1
11579582	168344	572689	NEZ		99	0
19137376	168432	573223	NEZ		99	0
11579388	168430	573183	JAV	1	1633	1
11579396	168503	573155	JAV	1	1633	1
11579400	168366	573038	JAV	1	1633	1
11579418	168341	573026	JAV	1	1633	1
11579426	168334	572997	NEZ		99	0
11579434	168337	572952	JAV	1	1633	1
11586953	170349	576336	DRUG	1	99	0
11587020	170328	576237	JAV	1	1633	1
11587038	170339	576210	JAV	1	1633	1
11587046	170336	576189	JAV	1	1633	1
16171476	170315	576202	JAV	1	1633	1
11587054	170203	576142	JAV	1	1633	1
11586961	170368	576343	JAV	3	1633	1
11587062	170310	576082	NEZ		99	0
19135420	170303	576177	JAV	1	1633	1
19130983	170263	576150	JAV	1	1633	1
11586970	170308	576278	JAV	1	1633	1
11587003	170346	576280	JAV	1	1633	1
11587011	170333	576260	JAV	1	1633	1
19128415	170615	576432	JAV	3	1633	1
11591973	170502	576390	JAV	3	1633	1
11591957	170557	576480	JAV	3	1633	1
11591965	170426	576601	NEZ		99	0
11591949	170654	576479	NEZ		99	0
19136337	170665	576705	JAV	2	1633	1
11587089	171049	576265	JAV	1	1633	1
11587178	171188	576333	JAV	1	1633	1
19135721	171196	576325	JAV	1	1633	1
11587097	171035	576289	NEZ		99	0
11587119	171082	576276	JAV	1	1633	1
11587127	171106	576286	JAV	1	1633	1
11587135	171121	576300	JAV	1	1633	1
11587143	171140	576312	JAV	1	1633	1
11587151	171161	576321	JAV	1	1633	1
11587160	171182	576302	JAV	1	1633	1
11591981	171263	575670	JAV	1	1633	1
11591990	171255	575629	JAV	1	1633	1
11592007	171231	575634	JAV	1	1633	1
11592015	171226	575655	JAV	1	1633	1
11592023	171220	575672	JAV	1	1633	1
11581978	169568	576655	JAV	1	1633	1
11582940	168800	576505	JAV	1	1633	1
19134270	168687	576467	JAV	1	1633	1
11582958	168563	576509	JAV	1	1633	1
11582966	168533	576477	JAV	1	1633	1
11582974	168516	576464	JAV	1	1633	1
19132307	168483	576433	JAV	1	1633	1
11582982	168477	576469	JAV	1	1633	1
11583008	168506	576511	JAV	1	1633	1
11583016	168530	576514	JAV	1	1633	1
11583024	168505	576526	JAV	1	1633	1
11583032	168481	576539	JAV	1	1633	1
11583059	168458	576545	JAV	1	1633	1
11582079	169351	576333	JAV	1	1633	1
11583067	168435	576556	JAV	1	1633	1
11583075	168374	576503	JAV	1	1633	1
11583083	168419	576561	JAV	1	1633	1
11583091	168399	576611	JAV	1	1633	1
11583105	168398	576573	JAV	1	1633	1
11583113	168361	576623	JAV	1	1633	1
11583121	168345	576593	JAV	2	1633	1
11583130	168317	576661	JAV	1	1633	1
11583148	168274	576627	JAV	1	1633	1
11583156	168300	576665	JAV	1	1633	1
11582087	169325	576310	JAV	1	1633	1
11583164	168220	576627	JAV	1	1633	1
11583172	168250	576667	JAV	1	1633	1
11583199	168174	576657	JAV	1	1633	1
11583202	168208	576708	JAV	1	1633	1
11583229	168139	576680	JAV	1	1633	1
11583237	168180	576699	DRUG	1	99	0
11583245	168110	576693	JAV	1	1633	1
11583253	168147	576722	JAV	1	1633	1
11583261	168080	576165	JAV	4	1633	1
11583270	167934	576320	JAV	1	1633	1
11582095	169306	576285	JAV	1	1633	1
11583288	167870	576330	JAV	1	1633	1
11583296	167714	576266	JAV	1	1633	1
11583300	167624	576409	JAV	1	1633	1
11583318	167617	576393	DRUG	1	99	0
16400637	167625	576313	JAV	1	1633	1
11583326	167671	575936	JAV	1	1633	1
11583334	167739	575984	JAV	1	1633	1
19133010	167719	575961	JAV	1	1633	1
19122301	167751	575954	JAV	1	1633	1
11583342	167807	575926	NEZ		99	0
11583369	167794	576014	JAV	1	1633	1
11583377	167887	575952	JAV	1	1633	1
11582117	169363	576371	JAV	1	1633	1
11583385	167917	575923	JAV	1	1633	1
11583393	167941	575921	NEZ		99	0
11583407	167961	575922	JAV	1	1633	1
11583415	167984	575932	JAV	1	1633	1
11583423	168005	576001	JAV	1	1633	1
11583431	167967	576018	JAV	1	1633	1
11583440	167945	575980	JAV	1	1633	1
11583458	167893	576003	JAV	1	1633	1
11583466	168093	576001	JAV	1	1633	1
19137643	168172	576029	JAV	3	1633	1
19139301	168153	575968	NEZ		99	0
11583474	168221	575952	JAV	1	1633	1
11582109	169401	576378	JAV	1	1633	1
11582125	169335	576366	JAV	1	1633	1
11583482	168541	576047	JAV	1	1633	1
19136493	168548	575997	JAV	1	1633	1
19126293	168495	576003	JAV	1	1633	1
19130878	168496	575974	JAV	1	1633	1
19120112	168476	575930	JAV	1	1633	1
11583539	168391	575932	JAV	1	1633	1
11583512	168363	575928	JAV	1	1633	1
19134016	168370	575943	JAV	1	1633	1
11583547	168381	575905	JAV	1	1633	1
11583555	168345	575923	JAV	1	1633	1
11583563	168366	575875	JAV	1	1633	1
19125181	168324	575889	JAV	1	1633	1
11583571	168350	575855	JAV	1	1633	1
11583580	168333	575833	JAV	1	1633	1
11583598	168318	575816	JAV	1	1633	1
11582133	169315	576369	JAV	1	1633	1
11583601	168441	575846	JAV	1	1633	1
11583610	168386	575841	JAV	1	1633	1
11583628	168399	575826	NEZ		99	0
11583636	168387	575810	JAV	1	1633	1
11583644	168439	575767	JAV	1	1633	1
11583652	168447	575782	NEZ		99	0
19139441	168444	575714	JAV	2	1633	1
11583687	168443	575679	JAV	1	1633	1
19137716	168494	575581	JAV	1	1633	1
11583695	168517	575621	JAV	1	1633	1
11582141	169308	576335	JAV	1	1633	1
11583709	168529	575660	JAV	1	1633	1
11583717	168450	575579	JAV	1	1633	1
11583725	168461	575557	JAV	1	1633	1
11583733	168371	575355	JAV	1	1633	1
11583741	168372	575375	NEZ		99	0
11583750	168233	575342	JAV	1	1633	1
11583768	168220	575415	JAV	1	1633	1
11583776	168215	575458	JAV	1	1633	1
11583784	168122	575288	DRUG	1	99	0
11583792	168137	575209	DRUG	1	99	0
11582150	169287	576336	JAV	1	1633	1
11583806	168132	575185	JAV	1	1633	1
11583814	168065	575200	JAV	1	1633	1
11583822	168142	574849	JAV	1	1633	1
11583849	168132	574700	JAV	1	1633	1
11583857	168128	574650	JAV	1	1633	1
11583865	168097	574531	JAV	1	1633	1
11583873	168614	574450	NEZ		99	0
11583881	168649	574424	JAV	1	1633	1
11583890	168790	574473	JAV	3	1633	1
11583903	168888	574683	JAV	1	1633	1
11582168	169292	576361	JAV	1	1633	1
11583920	168960	574781	JAV	1	1633	1
11583938	168686	574749	JAV	1	1633	1
11583946	168612	574818	JAV	1	1633	1
11583954	168557	574715	JAV	1	1633	1
11583962	168429	574540	JAV	1	1633	1
11583989	168514	574919	JAV	1	1633	1
11583997	168505	574954	JAV	1	1633	1
11584004	168763	574949	JAV	1	1633	1
11584012	168634	575008	JAV	1	1633	1
19130525	169431	576640	JAV	1	1633	1
11582176	169270	576363	JAV	1	1633	1
11584039	168573	575106	JAV	1	1633	1
19135667	168539	575106	NEZ		99	0
11584047	168369	575205	NEZ		99	0
11584063	168583	575342	DRUG	1	99	0
11584071	168566	575441	JAV	1	1633	1
11584080	168712	575396	JAV	1	1633	1
11584098	168727	575387	JAV	1	1633	1
11584110	168848	575340	JAV	1	1633	1
11584101	168851	575328	NEZ		99	0
11584128	168893	575337	JAV	1	1633	1
11582184	169265	576336	JAV	1	1633	1
11584144	168831	575244	DRUG	1	99	0
11584152	168938	575243	NEZ		99	0
11584179	168940	575214	JAV	1	1633	1
11584187	168984	575063	NEZ		99	0
11584195	169114	574837	JAV	1	1633	1
19135560	169267	574936	JAV	1	1633	1
11584209	169329	574995	JAV	1	1633	1
19127877	169362	574863	JAV	1	1633	1
11584217	169228	575056	JAV	1	1633	1
19126498	169170	575079	JAV	1	1633	1
19136086	169183	575093	JAV	1	1633	1
11584225	169200	575131	JAV	1	1633	1
11584233	169212	575164	NEZ		99	0
11584241	169552	575510	JAV	1	1633	1
11584250	169411	575595	JAV	1	1633	1
11584268	169387	575557	NEZ		99	0
11584276	169356	575550	JAV	1	1633	1
11584284	169229	575463	JAV	1	1633	1
11584306	169217	575422	JAV	1	1633	1
11584292	169118	575483	JAV	1	1633	1
11584322	169344	575672	NEZ		99	0
16394963	169348	575648	JAV	1	1633	1
11584349	169349	575736	JAV	1	1633	1
19125114	169362	575722	JAV	1	1633	1
19139573	169318	575745	JAV	1	1633	1
19129870	169294	575740	JAV	1	1633	1
11584357	169303	575714	NEZ		99	0
11584365	169270	575717	JAV	3	1633	1
19135136	169264	575712	JAV	1	1633	1
19139395	169250	575758	NEZ		99	0
11582192	169248	576365	JAV	1	1633	1
11584373	169213	575727	JAV	1	1633	1
11584381	169100	575819	NEZ		99	0
11584390	169168	575882	JAV	1	1633	1
19122123	169220	575843	JAV	3	1633	1
11584403	169274	575865	DRUG	1	99	0
11584411	169347	575936	NEZ		99	0
11584420	169328	575824	DRUG	1	99	0
11584438	169523	575747	JAV	1	1633	1
11582206	169218	576371	JAV	1	1633	1
11582214	169199	576339	JAV	1	1633	1
11582222	169176	576329	JAV	1	1633	1
11582249	169158	576369	JAV	1	1633	1
11582257	169135	576350	JAV	1	1633	1
19125386	169133	576321	JAV	1	1633	1
19123235	169110	576296	JAV	1	1633	1
11582265	169122	576361	JAV	1	1633	1
19131173	169457	576627	JAV	1	1633	1
19133982	169489	576685	JAV	1	1633	1
19134784	169411	576612	JAV	1	1633	1
19138976	169377	576592	JAV	1	1633	1
11581994	169335	576536	JAV	1	1633	1
11582273	169172	576303	JAV	1	1633	1
11582281	169214	576308	JAV	1	1633	1
11582290	169194	576286	JAV	1	1633	1
19125017	169157	576245	JAV	1	1633	1
11582303	169138	576120	NEZ		99	0
11582311	169139	576151	JAV	1	1633	1
11582320	169095	576189	JAV	1	1633	1
19137368	169067	576205	JAV	1	1633	1
11582338	169035	576245	DRUG	1	99	0
11582346	169019	576219	JAV	1	1633	1
19134474	169006	576224	JAV	1	1633	1
11582354	168971	576261	JAV	1	1633	1
11582362	168927	576253	JAV	1	1633	1
11582001	169284	576575	NEZ		99	0
11582389	168894	576291	JAV	1	1633	1
11582397	169002	576301	JAV	1	1633	1
19119408	169045	576320	JAV	1	1633	1
11582419	169097	576352	NEZ		99	0
11582427	169166	576413	JAV	1	1633	1
19135934	169149	576414	NEZ		99	0
11582435	169157	576466	JAV	1	1633	1
11582443	169126	576467	JAV	1	1633	1
11582451	169080	576484	JAV	1	1633	1
11582460	169062	576495	JAV	1	1633	1
11582478	169046	576496	JAV	1	1633	1
11582486	169034	576414	JAV	1	1633	1
11582010	169191	576494	JAV	3	1633	1
11582494	169019	576422	DRUG	1	99	0
11582508	168987	576425	JAV	1	1633	1
19126366	168985	576457	JAV	3	1633	1
11582516	168965	576426	JAV	1	1633	1
11582524	168873	576424	JAV	1	1633	1
11582559	168844	576429	JAV	1	1633	1
11582532	168855	576448	JAV	1	1633	1
11582567	168824	576460	JAV	1	1633	1
11582575	168810	576437	JAV	1	1633	1
11582583	168814	576417	JAV	1	1633	1
11582028	169295	576482	JAV	1	1633	1
11582591	168938	576385	JAV	1	1633	1
16391212	168959	576396	JAV	1	1633	1
19122093	168944	576354	JAV	1	1633	1
19137970	168925	576354	JAV	1	1633	1
16391018	168897	576388	JAV	1	1633	1
16354821	168921	576386	JAV	1	1633	1
11582613	168879	576353	JAV	1	1633	1
11582605	168884	576332	JAV	1	1633	1
11582630	168822	576378	JAV	1	1633	1
11582621	168854	576388	JAV	1	1633	1
11582648	168799	576368	JAV	1	1633	1
19128547	168773	576359	JAV	1	1633	1
11582656	168748	576282	JAV	1	1633	1
11582664	168748	576351	JAV	1	1633	1
19120074	168724	576334	JAV	1	1633	1
19122247	168712	576323	JAV	1	1633	1
11582036	169240	576422	JAV	1	1633	1
19128407	168697	576287	JAV	1	1633	1
19125726	168667	576268	JAV	1	1633	1
11582672	168639	576225	DRUG	1	99	0
11582699	168621	576280	JAV	1	1633	1
11582702	168590	576268	JAV	1	1633	1
11582729	168606	576250	JAV	1	1633	1
16354902	168662	576130	DRUG	1	99	0
19124789	168646	576150	JAV	1	1633	1
11582753	168805	575915	JAV	1	1633	1
11582044	169375	576426	JAV	1	1633	1
11582761	168746	575920	JAV	1	1633	1
11582788	168700	575933	JAV	1	1633	1
11582770	168654	575942	JAV	1	1633	1
19138453	168582	575939	JAV	1	1633	1
11582796	168600	576024	NEZ		99	0
11582800	168619	576039	DRUG	1	99	0
11582818	168537	576282	DRUG	1	99	0
11582826	168570	576293	JAV	1	1633	1
11582834	168549	576315	DRUG	1	99	0
11582842	168571	576349	JAV	1	1633	1
11582869	168633	576310	JAV	1	1633	1
19123294	168612	576334	JAV	3	1633	1
11582877	168638	576350	JAV	1	1633	1
19132005	169401	576409	JAV	1	1633	1
11582052	169439	576210	JAV	3	1633	1
11582885	168593	576374	JAV	3	1633	1
11582893	168628	576389	JAV	1	1633	1
11582907	168636	576402	JAV	1	1633	1
11582915	168680	576376	JAV	3	1633	1
19125025	168688	576438	JAV	1	1633	1
11582923	168728	576468	JAV	1	1633	1
19136922	168734	576382	JAV	1	1633	1
11582931	168767	576405	JAV	1	1633	1
19138488	168765	576445	JAV	3	1633	1
11592031	170256	576425	JAV	1	1633	1
11592040	170283	576397	JAV	1	1633	1
11592058	170229	576385	JAV	1	1633	1
11592066	170306	576381	JAV	1	1633	1
11592074	170253	576379	JAV	1	1633	1
11592082	170298	576357	JAV	1	1633	1
11592104	170275	576365	JAV	1	1633	1
11587267	170152	576320	JAV	1	1633	1
11587275	170127	576326	JAV	1	1633	1
11587283	170106	576320	JAV	1	1633	1
11587305	170083	576325	JAV	1	1633	1
11587313	170059	576330	JAV	1	1633	1
11587321	169969	576360	JAV	1	1633	1
11587186	170279	576294	JAV	1	1633	1
11587330	170025	576332	JAV	1	1633	1
11587348	169991	576332	JAV	1	1633	1
11587356	169957	576331	JAV	1	1633	1
11587194	170255	576305	JAV	1	1633	1
11587208	170201	576370	JAV	1	1633	1
11587216	170206	576325	JAV	1	1633	1
11587224	170193	576348	JAV	1	1633	1
11587232	170176	576317	JAV	1	1633	1
11587259	170185	576349	JAV	1	1633	1
16171522	171191	575332	JAV	1	1633	1
11592112	171189	575289	JAV	2	1633	1
11592139	171163	575330	JAV	1	1633	1
11592147	171103	575201	JAV	1	1633	1
11592155	171115	575289	JAV	1	1633	1
11592163	171082	575174	JAV	1	1633	1
11592171	171120	575328	JAV	1	1633	1
11592180	171044	575118	JAV	1	1633	1
11592198	171075	575599	JAV	1	1633	1
11592201	171116	575563	JAV	1	1633	1
11592210	171058	575530	JAV	1	1633	1
11592228	171086	575559	JAV	1	1633	1
11592236	171033	575518	NEZ		99	0
11592244	171087	575529	JAV	1	1633	1
19118347	171035	575524	JAV	1	1633	1
11594077	163491	572798	ZAS	1	99	0
11594174	163107	573743	DRUG	1	99	0
11594182	163072	574069	NEZ		99	0
19135217	163110	573981	DRUG	1	99	0
11594204	163202	574088	DRUG	1	99	0
11594212	163355	574135	DRUG	1	99	0
11594239	163581	574135	JAV	1	1633	1
11594247	163715	574007	DRUG	1	99	0
19134857	163718	573980	NEZ		99	0
11594255	163406	574305	DRUG	1	99	0
11594263	163426	574568	DRUG	1	99	0
11594271	163199	574630	DRUG	1	99	0
11594280	162887	574524	DRUG	1	99	0
11594085	163451	572945	ZAS	1	99	0
11594298	162809	574717	DRUG	1	99	0
11594301	162756	574677	DRUG	1	99	0
11594310	162620	574390	NEZ		99	0
11594328	161721	574428	NEZ		99	0
11594336	161724	574426	NEZ		99	0
19124860	161738	574398	NEZ		99	0
11594093	163432	573047	ZAS	1	99	0
11594107	163412	573092	ZAS	1	99	0
11594115	163369	573143	ZAS	1	99	0
11594123	163313	573273	DRUG	1	99	0
11594131	163305	573327	DRUG	1	99	0
11594140	163190	573458	DRUG	1	99	0
19124967	163175	573441	DRUG	1	99	0
11594166	163100	573588	DRUG	1	99	0
11594158	163122	573646	DRUG	1	99	0
11587364	171211	575539	JAV	1	1633	1
11587453	171264	575702	JAV	1	1633	1
11587461	171317	575648	JAV	1	1633	1
11587470	171265	575725	JAV	1	1633	1
11587488	171296	575660	JAV	1	1633	1
11587496	171280	575747	JAV	1	1633	1
11587500	171295	575698	JAV	1	1633	1
11587518	171307	575759	JAV	1	1633	1
11587526	171310	575722	JAV	1	1633	1
11587534	171345	575755	JAV	1	1633	1
11587542	171336	575726	JAV	1	1633	1
11587372	171222	575593	JAV	1	1633	1
11587569	171362	575750	JAV	1	1633	1
11587577	171329	575700	JAV	1	1633	1
11587585	171391	575734	JAV	1	1633	1
11587593	171363	575722	JAV	1	1633	1
11587607	171439	575688	JAV	3	1633	1
11587615	171380	575709	JAV	1	1633	1
11587623	171481	575558	NEZ		99	0
11587631	171408	575679	DRUG	1	99	0
11587640	171447	575503	JAV	3	1633	1
11587658	171426	575636	JAV	1	1633	1
11587399	171240	575559	JAV	1	1633	1
11587402	171277	575561	JAV	1	1633	1
11587429	171313	575613	JAV	1	1633	1
11587437	171273	575621	JAV	1	1633	1
11587445	171340	575634	JAV	1	1633	1
11587666	171569	575530	JAV	1	1633	1
11587674	171571	575521	JAV	1	1633	1
11587682	171548	575499	JAV	1	1633	1
11587704	171530	575434	NEZ		99	0
11587712	171528	575390	JAV	4	1633	1
11587739	171487	575341	NEZ		99	0
11596061	170374	575878	JAV	1	1633	1
11596053	170343	575834	JAV	1	1633	1
11596070	170339	575738	JAV	1	1633	1
11596088	170383	575703	JAV	1	1633	1
11596126	170394	575668	JAV	1	1633	1
11596096	170330	575612	JAV	1	1633	1
11596100	170336	575501	JAV	1	1633	1
11596118	170338	575484	JAV	1	1633	1
16390950	170348	575517	JAV	1	1633	1
19131289	170359	575555	JAV	1	1633	1
19137856	170349	575536	JAV	1	1633	1
11596134	170556	575567	JAV	1	1633	1
19118681	170586	575566	JAV	1	1633	1
11596142	170726	575462	JAV	1	1633	1
19122280	170738	575436	DRUG	1	99	0
11596169	170528	575486	JAV	1	1633	1
11596177	170532	575439	JAV	1	1633	1
11596185	170515	575392	JAV	1	1633	1
11596193	170584	575163	JAV	1	1633	1
11596207	170514	575144	JAV	1	1633	1
11596215	170381	575095	JAV	1	1633	1
19125700	170317	574854	JAV	1	1633	1
11596223	170411	574826	JAV	1	1633	1
11596240	170427	574806	DRUG	1	99	0
11596231	170421	574733	JAV	1	1633	1
19118053	170473	574781	JAV	2	1633	1
11596258	170444	574699	JAV	1	1633	1
19128873	170409	574706	JAV	1	1633	1
19138658	170411	574665	JAV	1	1633	1
11596266	170452	574632	JAV	1	1633	1
11596274	170412	574635	JAV	1	1633	1
19126510	170475	574474	JAV	1	1633	1
19135748	170393	574411	JAV	1	1633	1
11596304	170399	574291	JAV	1	1633	1
19118282	170408	574258	JAV	1	1633	1
19138208	170375	574261	JAV	1	1633	1
11596312	170411	574213	JAV	1	1633	1
19134598	170405	574193	JAV	1	1633	1
11596339	170399	574143	DRUG	1	99	0
11596347	170410	574036	JAV	1	1633	1
19130053	170472	574084	JAV	1	1633	1
11596363	170390	573817	DRUG	1	99	0
11596371	170477	573947	NEZ		99	0
11596398	170572	574276	JAV	1	1633	1
11596380	170490	574374	JAV	1	1633	1
19128768	170491	574414	JAV	1	1633	1
19130614	170525	574296	JAV	1	1633	1
11596401	170542	574392	JAV	1	1633	1
11596410	170581	574398	JAV	1	1633	1
11596428	170763	574376	JAV	1	1633	1
19135969	170733	574414	JAV	1	1633	1
11596444	170755	574437	JAV	1	1633	1
11596436	170832	574467	JAV	1	1633	1
11596452	170808	574707	JAV	1	1633	1
11596479	170807	574739	JAV	1	1633	1
11596487	170756	574869	JAV	1	1633	1
11592252	170354	576473	JAV	1	1633	1
11592279	170357	576505	JAV	1	1633	1
11592287	170333	576520	JAV	1	1633	1
11592295	171321	575567	JAV	1	1633	1
11592309	171342	575609	JAV	1	1633	1
11592317	171352	575558	JAV	1	1633	1
11592325	171378	575612	JAV	1	1633	1
11592333	171349	575535	JAV	1	1633	1
11592341	171389	575588	JAV	1	1633	1
11598196	161187	574529	NEZ		99	0
11598307	161085	574153	NEZ		99	0
11598315	161170	574133	NEZ		99	0
11598323	161156	574216	NEZ		99	0
11598366	161478	574345	ZAS	1	99	0
11598331	161566	574358	NEZ		99	0
11598340	161557	574317	ZAS	1	99	0
11598358	161543	574297	ZAS	1	99	0
11598382	161627	574306	NEZ		99	0
11598374	161614	574308	ZAS	1	99	0
11598404	161324	574096	ZAS	1	99	0
19139310	161313	574128	NEZ		99	0
11598412	161198	574039	ZAS	1	99	0
11598439	161135	574003	ZAS	1	99	0
11598447	161089	573979	ZAS	1	99	0
11598200	161056	574495	ZAS	1	99	0
11598455	161085	574000	NEZ		99	0
11598463	161062	573980	ZAS	1	99	0
19137422	161032	573961	ZAS	1	99	0
11598471	161003	573967	ZAS	1	99	0
19138267	160988	573944	NEZ		99	0
11598498	160939	573870	ZAS	1	99	0
11598501	160940	573759	NEZ		99	0
11598510	160920	573687	ZAS	1	99	0
11598226	160996	574575	NEZ		99	0
11598218	161059	574694	ZAS	1	99	0
19126358	160989	574626	ZAS	1	99	0
19134849	160993	574602	ZAS	1	99	0
11598234	160961	574562	ZAS	1	99	0
19138330	160960	574604	NEZ		99	0
11598242	160914	574346	ZAS	1	99	0
11598269	160910	574145	ZAS	1	99	0
11598277	160946	574103	ZAS	1	99	0
11598285	161032	574129	ZAS	1	99	0
11598293	161052	574136	ZAS	1	99	0
11598536	165119	573710	JAV	1	1633	1
11598641	164493	574230	JAV	1	1633	1
11598650	164444	574324	DRUG	1	99	0
19138399	164451	574354	JAV	1	1633	1
11598676	164397	574425	JAV	1	1633	1
11598684	164343	574438	NEZ		99	0
11598692	164408	574484	DRUG	1	99	0
11598706	164315	574483	JAV	1	1633	1
11598714	164443	574534	JAV	1	1633	1
11598722	164476	574587	JAV	1	1633	1
11598749	164479	574551	JAV	1	1633	1
11598528	165100	573714	JAV	1	1633	1
11598544	164778	574099	JAV	1	1633	1
19135179	164534	574591	JAV	1	1633	1
11598552	164509	574071	NEZ		99	0
19132455	164563	574056	JAV	1	1633	1
11598579	164173	573996	NEZ		99	0
11598587	164444	574054	JAV	1	1633	1
11598595	164487	574135	DRUG	1	99	0
19119459	164467	574169	DRUG	1	99	0
11598609	164539	574136	DRUG	1	99	0
11598617	164548	574187	JAV	1	1633	1
19118088	164515	574161	JAV	1	1633	1
11598633	164461	574212	JAV	2	1633	1
11598625	164406	574309	DRUG	1	99	0
11598820	164928	574342	JAV	1	1633	1
11598838	164800	574184	JAV	1	1633	1
19131882	164855	574184	JAV	1	1633	1
11598846	164914	574214	DRUG	1	99	0
11598854	164911	574257	JAV	1	1633	1
11598862	164929	574255	NEZ		99	0
11598889	164946	574275	JAV	1	1633	1
11598897	165030	574344	JAV	1	1633	1
11598919	164919	574446	JAV	1	1633	1
11598927	164883	574431	NEZ		99	0
11598757	164641	574572	NEZ		99	0
11598935	164959	574425	JAV	1	1633	1
19125327	164959	574352	JAV	1	1633	1
11598943	165085	574414	JAV	1	1633	1
11598951	165133	574344	JAV	1	1633	1
11598960	165114	574323	JAV	1	1633	1
11598978	165159	574321	JAV	1	1633	1
11598994	165238	574352	NEZ		99	0
11598986	165226	574342	JAV	1	1633	1
19130339	165212	574241	JAV	1	1633	1
11599001	165218	574223	DRUG	1	99	0
19130355	165243	574163	NEZ		99	0
11599028	165253	574083	JAV	1	1633	1
11599010	165230	574029	JAV	1	1633	1
19127885	165252	574024	JAV	1	1633	1
19128431	165217	574018	JAV	1	1633	1
11598765	164643	574509	NEZ		99	0
11599036	165272	574159	NEZ		99	0
19124878	165275	574081	JAV	1	1633	1
11599079	165206	573970	JAV	1	1633	1
11599044	165184	573951	JAV	1	1633	1
11599052	165147	573929	JAV	1	1633	1
19134261	165179	573981	JAV	1	1633	1
11599087	165232	573898	JAV	1	1633	1
19132170	165204	573926	JAV	1	1633	1
11599095	164974	573985	JAV	1	1633	1
19135128	165031	574075	JAV	1	1633	1
11599117	165455	574237	JAV	1	1633	1
11599125	165389	574285	JAV	2	1633	1
11599133	165393	574289	JAV	1	1633	1
11599141	165458	574289	JAV	1	1633	1
11599150	165461	574373	DRUG	1	99	0
11598773	164648	574445	JAV	1	1633	1
11599168	165312	574437	DRUG	1	99	0
11599184	165418	574510	NEZ		99	0
11599176	165405	574505	JAV	1	1633	1
19129985	165421	574472	JAV	1	1633	1
11599214	165451	574620	NEZ		99	0
11599192	165475	574597	JAV	1	1633	1
11599206	165477	574687	JAV	1	1633	1
19127842	165452	574681	JAV	1	1633	1
19118169	165417	574632	JAV	1	1633	1
11599222	165494	574779	JAV	1	1633	1
11599273	165380	574779	JAV	1	1633	1
11599249	165435	574781	JAV	1	1633	1
11599257	165453	574770	JAV	1	1633	1
11599265	165478	574760	JAV	1	1633	1
11599290	165310	574778	JAV	1	1633	1
11599281	165350	574784	DRUG	1	99	0
16343919	165320	574795	JAV	1	1633	1
19137244	165350	574774	JAV	1	1633	1
11599303	165227	574812	JAV	1	1633	1
11599311	164770	574749	NEZ		99	0
11599320	164572	574912	JAV	1	1633	1
11598781	164788	574582	NEZ		99	0
11599338	164392	574981	JAV	1	1633	1
19131092	164517	574988	JAV	1	1633	1
11599346	164254	575117	JAV	1	1633	1
11599354	164326	575034	JAV	1	1633	1
11599362	164424	575040	JAV	1	1633	1
19129853	164510	575138	JAV	1	1633	1
19138542	164518	575072	JAV	1	1633	1
11599389	164612	575058	NEZ		99	0
11599397	164650	575004	JAV	1	1633	1
11599419	164694	575037	DRUG	1	99	0
11599427	164953	574997	JAV	1	1633	1
11599435	164990	574901	JAV	1	1633	1
11599443	165179	575583	NEZ		99	0
11598790	164807	574540	NEZ		99	0
11599451	165475	574990	JAV	1	1633	1
19133150	165503	575052	JAV	1	1633	1
19138046	165529	575072	JAV	1	1633	1
11599460	165470	575087	JAV	1	1633	1
19128946	165470	575103	JAV	1	1633	1
19135101	165466	575140	JAV	1	1633	1
11599478	165615	575251	JAV	1	1633	1
11599486	165626	575155	NEZ		99	0
11599524	165638	575058	JAV	1	1633	1
11599494	165702	575002	JAV	1	1633	1
11599508	165626	575026	JAV	1	1633	1
11599516	165600	575026	JAV	1	1633	1
11599567	165876	575016	JAV	1	1633	1
11599532	165837	575041	JAV	1	1633	1
11599559	165877	575064	JAV	1	1633	1
11599575	165913	575046	JAV	1	1633	1
11599583	165992	575080	JAV	1	1633	1
11599591	166166	575072	JAV	1	1633	1
11599605	166163	575132	JAV	1	1633	1
11598803	164776	574508	NEZ		99	0
19129110	164744	574404	JAV	1	1633	1
19135691	164720	574405	JAV	1	1633	1
